id,activity_type,distance_miles,moving_time,average_heartrate,max_heartrate
8869,Run,3.01,24.05,154.8,186
8870,Run,3.67,28.77,0,0
8871,Run,3.01,26,146.9,174
8872,Run,1.71,14.68,164.4,181
8873,Run,2.09,13.35,160.5,186
8874,Run,1.3,10.25,139.1,167
8875,Run,5.02,38.67,167,190
8876,Run,5.02,37.9,166.3,185
8877,Run,4.01,30.65,163.5,184
8878,Run,2.1,17.4,160.2,186
8879,Run,1.68,10.87,157.2,176
8880,Run,1.41,10.88,150.4,173
8881,Run,5.16,39.9,157.1,184
8882,Run,5.01,39.52,163.1,184
8883,Run,0.67,5.25,174.7,189
8884,Run,2.03,13.05,176.6,205
8885,Run,1,7.92,143.6,170
8886,Run,3.57,27.95,154.5,192
8887,Run,3.43,28.43,156.7,176
8888,Run,3.74,31.12,157.2,173
8889,Run,3.75,29.32,153.5,182
8890,Run,5.01,40.33,160.6,187
8891,Run,3.64,29.82,158.8,186
8892,Run,3.21,25.62,157.7,180
8893,Run,1.14,9.43,136.4,147
8894,Run,3.22,26.63,159.3,186
8895,Run,2.02,17.45,142,170
8896,Run,3.61,30.28,153.6,174
8897,Run,3.06,24.23,163.3,185
8898,Run,3.01,24.35,158.8,172
8899,Run,2.01,16.37,138.3,185
8900,Run,1.14,9.25,162.1,183
8901,Run,1.12,8.77,153.4,170
8902,Run,5,38.37,158.6,178
8903,Run,7.01,54.77,153,180
8904,Run,1.74,13.85,82.9,164
8905,Run,3.01,23.27,159.4,186
8906,Ride,3.87,23.78,127.5,150
8907,Run,5.01,37.4,167.1,191
8908,Run,5.01,38.12,161.9,195
8909,Run,3.72,28.77,166.9,191
8910,Run,3.8,29.95,162.6,189
8911,Run,3.5,28.67,151.9,184
8912,Run,6.01,47,164.9,183
8913,Run,5.13,40.08,157.4,178
8914,Run,4.82,38.87,147,172
8915,Run,13.13,97.78,169,189
8916,Run,5.95,51.7,141.8,166
8917,Run,2.5,21.78,143.7,162
8918,Run,3.01,18.02,196.2,205
8919,Run,1.54,12.88,147.4,168
8920,Run,6.03,48.45,145.5,170
8921,Run,7.01,56.38,148.1,178
8922,Run,8.01,65.4,145.9,168
8923,Run,8.01,65.08,144.5,163
8924,Run,12.03,94.9,150.1,189
8925,Run,6.01,47.08,161,178
8926,Run,5.02,40.23,154.1,177
8927,Run,6.02,47.72,155.9,177
8928,Run,7.03,56.2,154.4,176
8929,Run,8.05,65.33,153,174
8930,Run,6.02,49.38,155.5,181
8931,Run,6.05,51.62,148.3,169
8932,Run,12.01,90.75,169.4,188
8933,Run,6.01,49.03,152.7,175
8934,Run,5.01,41.97,151,175
8935,Run,7.04,56.82,156.5,175
8936,Run,7.01,55.07,155.3,175
8937,Run,7.01,56.45,160.5,182
8938,Run,7.03,57.3,147,164
8939,Run,10.03,75.45,163.6,185
8940,Run,3.15,23.28,162,182
8941,Run,4.04,32.55,150.7,181
8942,Run,6.01,50.55,154.5,194
8943,Run,6,50.5,147.2,168
8944,Run,4.01,34.1,144.6,166
8945,Run,7.01,51.23,166.9,193
8946,Run,6.01,53.37,149.8,170
8947,Run,5.01,43.18,155.6,182
8948,Run,8.01,65.45,159.8,182
8949,Run,8.01,63.23,163,189
8950,Run,5.01,41.52,158.6,182
8951,Run,6.01,49.63,160.6,181
8952,Run,10.01,78.23,171.7,191
8953,Run,4,31.53,0,0
8954,Run,6.01,45.87,171.6,195
8955,Run,7.03,54.17,165.2,182
8956,Run,7.01,57.63,161.4,179
8957,Run,5,38.7,167.4,191
8958,Run,6.02,49.27,161.1,179
8959,Run,8.01,61.37,168.4,190
8960,Run,5,43.82,158,181
8961,Run,3,27.6,146.4,162
8962,Run,5.02,40.83,162.9,179
8963,Run,5.01,39.4,163.5,180
8964,Run,5.07,40.73,160.2,182
8965,Run,4.04,33.03,159,177
8966,Run,4.02,33.07,148.7,177
8967,Run,2.01,16.52,0,0
8968,Run,4.02,31.12,152.6,180
8969,Run,3.01,25.45,159.2,186
8970,Run,5.75,46.38,169.7,189
8971,Run,6.26,48.93,0,0
8972,Run,6.02,47.75,150.5,173
8973,Run,4,32,0,0
8974,Run,10.18,79.32,165.9,186
8975,Run,5.01,39.47,162.6,192
8976,Run,7,53.98,162,181
8977,Run,7.01,55.93,158.7,177
8978,Run,2.01,16.22,148.8,169
8979,Run,4.01,32.55,157.7,178
8980,Run,2.18,17.93,146.8,181
8981,Run,4,32.07,164.8,187
8982,Run,3.23,25.97,152.5,171
8983,Run,5.79,45.2,169.7,196
8984,Run,4.03,31.18,160,185
8985,Run,4,32.42,163.7,189
8986,Run,4.01,31.57,163.2,183
8987,Run,2,42.63,87.6,130
8988,Run,3.01,24.67,150.5,172
8989,Run,6.01,47.83,168.3,192
8990,Run,5.01,40.05,164.7,188
8991,Run,3.01,24.38,158.1,176
8992,Run,5,40.97,163.6,189
8993,Run,5.01,39.83,167.6,189
8994,Run,5,40.17,168.2,188
8995,Run,5,40.6,157.3,179
8996,Run,3,25.7,148.8,167
8997,Run,7.01,54.78,168.3,189
8998,Run,4.01,33.98,146.4,170
8999,Run,5.03,38.57,161.7,179
9000,Run,5.01,38.8,157.2,175
9001,Run,5.04,38.55,161.5,181
9002,Run,3.01,25.17,160.1,181
9003,Run,6.01,47.05,168.6,187
9004,Ride,1.17,7.37,131.8,175
9005,Run,4.02,31.73,164.7,186
9006,Run,5.02,39.15,163.1,182
9007,Run,4.1,33.2,158.5,177
9008,Run,4.02,31.75,169.6,194
